,sign,freq,city,format,state,geometry
190,K204GU,88.7,"Enid, OK",Christian Contemporary,OK,
191,K205AA,88.9,"Fayetteville, AR",Public Radio,AR,
192,K205AH,88.9,"Omak, Etc., WA",Public Radio,WA,
193,K205BA,88.9,"Ridgway, Etc., CO",Public Radio,CO,
194,K205BC,88.9,"Kobuk, AK",Public Radio,AK,
195,K205BM,88.9,"Oakland, CA",Christian Contemporary,CA,
196,K205BN,88.9,"Los Gatos, CA",Christian Contemporary,CA,
197,K205BZ,88.9,"Cut Bank, MT",Public Radio,MT,
198,K205CJ,88.9,"Prairie City, OR",Religious,OR,
199,K205CK,88.9,"Grand Junction, CO",Religious,CO,
200,K205CM,88.9,"Salida, CO",Christian Contemporary,CO,
201,K205DF,88.9,"Enumclaw, WA",Christian Contemporary,WA,
202,K205DK,88.9,"Yucca Valley, CA",Spanish Christian,CA,
203,K205DM,88.9,"Glide, OR",Religious,OR,
204,K205DP,88.9,"Winnemucca, NV",Religious,NV,
205,K205DT,88.9,"Indio, CA",Religious,CA,
206,K205DV,88.9,"La Grande, OR",Christian Contemporary,OR,
207,K205EG,88.9,"The Dalles, OR",Religious,OR,
208,K205EJ,88.9,"Chester, CA",Christian Contemporary,CA,
209,K205EK,88.9,"Susanville, CA",Religious,CA,
210,K205EP,88.9,"Santa Clarita, CA",Christian Contemporary,CA,
211,K205ER,88.9,"Raytown, MO",Religious,MO,
212,K205EX,88.9,"Clovis, NM",Christian Contemporary,NM,
213,K205FE,88.9,"Rock Springs, WY",Religious,WY,
214,K205FI,88.9,"Ardmore, OK",Christian Contemporary,OK,
215,K205FK,88.9,"Price, UT",Public Radio,UT,
216,K205FM,88.9,"Honolulu, HI",Public Radio,HI,
217,K205FQ,88.9,"Whiteriver, AZ",Religious,AZ,
218,K205FR,88.9,"Victoria, TX",Spanish Christian,TX,
219,K205FT,88.9,"Yakima, WA",Religious,WA,
220,K205FV,88.9,"Plainview, CO",Christian Contemporary,CO,
221,K205FX,88.9,"Saint Joseph, MO",Religious,MO,
222,K205FZ,88.9,"Steamboat Springs, CO",Classical,CO,
223,K205GE,88.9,"Saint George, UT",Religious,UT,
224,K205GH,88.9,"Pampa, TX",Religious,TX,
225,K205GK,88.9,"Norfolk, NE",Christian Contemporary,NE,
226,K205GM,88.9,"Buffalo, WY",Public Radio,WY,
227,K206AA,89.10000000000001,"Laguna Beach, CA",Adult Album Alternative,CA,
228,K206AC,89.10000000000001,"San Diego, CA",Public Radio,CA,
229,K206AE,89.10000000000001,"Crescent City, CA",Classical,CA,
230,K206AF,89.10000000000001,"Beaver Marsh, Etc., OR",Classical,OR,
231,K206AI,89.10000000000001,"Coos Bay, Etc., OR",Classical,OR,
232,K206AJ,89.10000000000001,"Sinclair, WY",Public Radio,WY,
233,K206AM,89.10000000000001,"Washington, UT",Public Radio,UT,
234,K206AN,89.10000000000001,"Callahan, CA",Classical,CA,
235,K206AO,89.10000000000001,"Eagle River, AK",Religious,AK,
236,K206AZ,89.10000000000001,"Leadville, CO",Christian Contemporary,CO,
237,K206BA,89.10000000000001,"Red Lodge, MT",Public Radio,MT,
238,K206BD,89.10000000000001,"Julesburg, CO",Public Radio,CO,
239,K206BE,89.10000000000001,"Gunnison, CO",Classical,CO,
240,K206BN,89.10000000000001,"Ashland, MT",Public Radio,MT,
241,K206BQ,89.10000000000001,"Hollister, CA",Christian Contemporary,CA,
242,K206BT,89.10000000000001,"Fredonia, AZ",Religious,AZ,
243,K206BU,89.10000000000001,"Seibert, CO",Christian Contemporary,CO,
244,K206BV,89.10000000000001,"Watford City, ND",Religious,ND,
245,K206BW,89.10000000000001,"Adel, IA",Christian Contemporary,IA,
246,K206BX,89.10000000000001,"Walsenburg, CO",Christian Contemporary,CO,
247,K206BZ,89.10000000000001,"Manitou Springs, CO",Adult Album Alternative,CO,
248,K206CA,89.10000000000001,"Enid, OK",Religious,OK,
249,K206CD,89.10000000000001,"Gainesville, TX",Americana,TX,
250,K206CI,89.10000000000001,"Mooreland, OK",Christian Contemporary,OK,
251,K206CJ,89.10000000000001,"Issaquah, WA",Religious,WA,
252,K206CL,89.10000000000001,"Chinook, WA",Religious,WA,
253,K206CS,89.10000000000001,"El Paso, TX",Religious,TX,
